State,year,Served,InCare_Sep30,Entered,Exited,Waiting_Adoption,parental_rights_terminated,adopted
New Mexico,FY 2013,3746,2077.0000000000023,1858.0000000000014,1669.0000000000014,880.0000000000013,518.0000000000002,310.00000000000085
New Mexico,FY 2014,4174,2366.000000000007,2120.000000000004,1807.9999999999975,989.9999999999981,523.0000000000023,314.9999999999993
New Mexico,FY 2015,4126,2470.9999999999923,1794.9999999999993,1654.9999999999961,1133.9999999999993,507,295.0000000000002
New Mexico,FY 2016,4325,2609.9999999999955,1872.0000000000007,1715.0000000000018,1262.999999999997,531.0000000000008,305.9999999999996
New Mexico,FY 2017,4479.000000000001,2657.000000000005,1902.0000000000016,1823.9999999999995,1424,811.9999999999965,310.99999999999966
New Mexico,FY 2018,4299.000000000002,2508.0000000000045,1679.0000000000068,1793.0000000000018,1204.9999999999989,596.9999999999992,296.99999999999955
New York,FY 2009,41650,27991.99999999992,12875.999999999987,13657.999999999869,6889.999999999977,3398.999999999976,2397.999999999997
New York,FY 2010,40026,26783.000000000153,12604.999999999847,13243.00000000008,6603.00000000006,3348.0000000000277,2205.0000000000027
New York,FY 2011,37344,24962.0000000001,11122.00000000003,12381.999999999996,6416.999999999968,3266.000000000031,2214.0000000000205
New York,FY 2012,34541,23924.000000000073,10593.999999999956,10617.000000000064,6060.999999999998,2924.999999999982,2182.000000000031
New York,FY 2013,33526,22974.999999999814,9345.000000000044,10550.999999999973,5842.999999999986,2811.000000000023,2184.000000000006
New York,FY 2014,32276,22421.99999999986,9691.000000000038,9853.999999999982,5462.999999999995,2693.999999999996,1996.9999999999989
New York,FY 2015,29623,20985.00000000005,9007.99999999997,8638.000000000084,5182.999999999981,2745.0000000000023,1933.0000000000082
New York,FY 2016,25395,17397.999999999916,8133.999999999966,7997.0000000000155,4839.000000000004,2385.9999999999927,2010.0000000000125
New York,FY 2017,24565,17206.999999999985,8809.000000000011,7357.9999999999645,4580.99999999999,2235.9999999999873,1784.9999999999916
New York,FY 2018,23717,16384.999999999927,8054.999999999995,7332.000000000053,4238.999999999974,2098.999999999994,1790.0000000000002
North Carolina,FY 2009,14515,9546.999999999995,4970.999999999988,4968.000000000009,2721.9999999999854,1447.9999999999964,1724.999999999984
North Carolina,FY 2010,13607,8827.999999999996,4769.000000000043,4779.000000000001,2427.0000000000027,1207.9999999999968,1614.9999999999968
North Carolina,FY 2011,13404,8601.000000000002,5109.999999999993,4802.999999999987,2233.999999999994,1125.999999999997,1463.0000000000052
North Carolina,FY 2012,13163,8461.000000000011,5025.999999999966,4702.000000000016,2071.0000000000064,1010.9999999999992,1329.000000000007
North Carolina,FY 2013,13401,9036.000000000033,5299.999999999996,4365.000000000012,2172.0000000000027,974.9999999999955,1222.0000000000018
North Carolina,FY 2014,14345,9859.000000000018,5797.999999999992,4485.999999999998,2416.0000000000086,1123.0000000000027,1175.9999999999948
